Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of argOp by DNA-binding transcriptional dual regulator Lrp-L-leucine	argOp	+	argO	b2923
Regulation of argPp by ArgP-L-arginine  DNA-binding transcriptional dual regulator	argPp	-	argP	b2916
Regulation of argPp by ArgP-L-arginine  DNA-binding transcriptional dual regulator	argPp	-	argP	b2916
Regulation of argPp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	argPp	+	argP	b2916
Regulation of argRp1 by ArgR-L-arginine DNA-binding transcriptional dual regulator	argRp1	-	argR	b3237
Regulation of argRp1 by ArgR-L-arginine DNA-binding transcriptional dual regulator	argRp1	-	argR	b3237
Regulation of argSp by ppGpp	argSp	-	argS	b1876
Regulation of argTp by NtrC phosphorylated dimer	argTp	+	hisP // hisM // hisQ // hisJ // argT	b2306 // b2307 // b2308 // b2309 // b2310
Regulation of argTp by NtrC phosphorylated dimer	argTp	+	hisP // hisM // hisQ // hisJ // argT	b2306 // b2307 // b2308 // b2309 // b2310
Regulation of argTp by ppGpp	argTp	-	hisP // hisM // hisQ // hisJ // argT	b2306 // b2307 // b2308 // b2309 // b2310
Regulation of argUp by DNA-binding transcriptional dual regulator Fis	argUp	+	argU	b0536
Regulation of argWp by DNA-binding transcriptional dual regulator Fis	argWp	+	argW	b2348
Regulation of argXp by DksA-ppGpp	argXp	-	argX // hisR // leuT // proM	b3796 // b3797 // b3798 // b3799
Regulation of argXp by DNA-binding transcriptional dual regulator Fis	argXp	+	argX // hisR // leuT // proM	b3796 // b3797 // b3798 // b3799
Regulation of argXp by ppGpp	argXp	-	argX // hisR // leuT // proM	b3796 // b3797 // b3798 // b3799
Regulation of argXp by RNA polymerase-binding transcription factor DksA	argXp	+	argX // hisR // leuT // proM	b3796 // b3797 // b3798 // b3799
Regulation of aroFp by DNA-binding transcriptional dual regulator SoxR	aroFp	+	tyrA // aroF	b2600 // b2601
Regulation of aroFp by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroFp	-	tyrA // aroF	b2600 // b2601
Regulation of aroFp by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroFp	-	tyrA // aroF	b2600 // b2601
Regulation of aroFp by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroFp	-	tyrA // aroF	b2600 // b2601
Regulation of aroGp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	aroGp	+	aroG	b0754
Regulation of aroGp by DNA-binding transcriptional repressor TyrR-L-phenylalanine	aroGp	-	aroG	b0754
Regulation of aroHp1 by DNA-binding transcriptional repressor TrpR-L-tryptophan	aroHp1	-	aroH	b1704
Regulation of aroHp1 by DNA-binding transcriptional repressor TrpR-L-tryptophan	aroHp1	-	aroH	b1704
Regulation of aroLp1 by DNA-binding transcriptional repressor TrpR-L-tryptophan	aroLp1	-	aroL // yaiA // aroM	b0388 // b0389 // b0390
Regulation of aroLp1 by DNA-binding transcriptional repressor TrpR-L-tryptophan	aroLp1	-	aroL // yaiA // aroM	b0388 // b0389 // b0390
Regulation of aroLp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroLp1	-	aroL // yaiA // aroM	b0388 // b0389 // b0390
Regulation of aroLp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroLp1	-	aroL // yaiA // aroM	b0388 // b0389 // b0390
Regulation of aroLp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroLp1	-	aroL // yaiA // aroM	b0388 // b0389 // b0390
Regulation of aroPp1 by DNA-binding transcriptional dual regulator Cra	aroPp1	+	aroP	b0112
Regulation of aroPp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroPp1	-	aroP	b0112
Regulation of aroPp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroPp1	-	aroP	b0112
Regulation of aroPp2 by DNA-binding transcriptional dual regulator Cra	aroPp2	+	aroP	b0112
Regulation of aroPp2 by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroPp2	-	aroP	b0112
Regulation of aroPp2 by DNA-binding transcriptional repressor TyrR-L-tyrosine	aroPp2	-	aroP	b0112
Regulation of arsRp by DNA-binding transcriptional repressor ArsR	arsRp	-	arsR // arsB // arsC	b3501 // b3502 // b3503
Regulation of artJp by ArgR-L-arginine DNA-binding transcriptional dual regulator	artJp	-	artJ	b0860
Regulation of artJp by ArgR-L-arginine DNA-binding transcriptional dual regulator	artJp	-	artJ	b0860
Regulation of artPp by DNA-binding transcriptional dual regulator ArgR	artPp	-	artM // artQ // artI // artP	b0861 // b0862 // b0863 // b0864
Regulation of artPp by DNA-binding transcriptional dual regulator ArgR	artPp	-	artM // artQ // artI // artP	b0861 // b0862 // b0863 // b0864
Regulation of ascFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ascFp	+	ascF // ascB	b2715 // b2716
Regulation of ascFp by DNA-binding transcriptional repressor AscG	ascFp	-	ascF // ascB	b2715 // b2716
Regulation of ascFp by DNA-binding transcriptional repressor AscG	ascFp	-	ascF // ascB	b2715 // b2716
Regulation of aslBp by DNA-binding transcriptional dual regulator Rob	aslBp	+	aslB	b3800
Regulation of aslBp by GadE-RcsB DNA-binding transcriptional activator	aslBp	+	aslB	b3800
Regulation of asnAp by DNA-binding transcriptional dual regulator AsnC	asnAp	+	asnA	b3744
Regulation of asnAp by DNA-binding transcriptional dual regulator AsnC	asnAp	+	asnA	b3744
Regulation of asnAp by DNA-binding transcriptional dual regulator AsnC	asnAp	+	asnA	b3744
Regulation of asnAp by DNA-binding transcriptional dual regulator AsnC	asnAp	+	asnA	b3744
Regulation of asnBp by DNA-binding transcriptional dual regulator GadX	asnBp	+	asnB	b0674
Regulation of asnCp by DNA-binding transcriptional dual regulator AsnC	asnCp	-	mnmG // mioC // asnC	b3741 // b3742 // b3743
Regulation of asnCp by DNA-binding transcriptional dual regulator AsnC	asnCp	-	mnmG // mioC // asnC	b3741 // b3742 // b3743
Regulation of asnCp by DNA-binding transcriptional dual regulator AsnC	asnCp	-	mnmG // mioC // asnC	b3741 // b3742 // b3743
Regulation of asnCp by DNA-binding transcriptional dual regulator AsnC	asnCp	-	mnmG // mioC // asnC	b3741 // b3742 // b3743
Regulation of asnCp by DNA-binding transcriptional dual regulator Nac	asnCp	-	mnmG // mioC // asnC	b3741 // b3742 // b3743
Regulation of asnCp by DNA-binding transcriptional dual regulator Nac	asnCp	-	mnmG // mioC // asnC	b3741 // b3742 // b3743
Regulation of asnCp by DNA-binding transcriptional dual regulator Nac	asnCp	-	mnmG // mioC // asnC	b3741 // b3742 // b3743
Regulation of aspAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	aspAp	+	dcuA // aspA	b4138 // b4139
Regulation of aspAp by DNA-binding transcriptional activator DcuR-phosphorylated	aspAp	+	dcuA // aspA	b4138 // b4139
Regulation of aspAp by DNA-binding transcriptional activator DcuR-phosphorylated	aspAp	+	dcuA // aspA	b4138 // b4139
Regulation of aspAp by DNA-binding transcriptional dual regulator FNR	aspAp	+	dcuA // aspA	b4138 // b4139
Regulation of aspAp by DNA-binding transcriptional dual regulator NarL-phosphorylated	aspAp	-	dcuA // aspA	b4138 // b4139
Regulation of aspAp by DNA-binding transcriptional dual regulator NarL-phosphorylated	aspAp	-	dcuA // aspA	b4138 // b4139
Regulation of aspAp by DNA-binding transcriptional dual regulator NarL-phosphorylated	aspAp	-	dcuA // aspA	b4138 // b4139
Regulation of aspCp by DNA-binding transcriptional dual regulator FNR	aspCp	-	aspC	b0928
Regulation of aspCp by DNA-binding transcriptional dual regulator FNR	aspCp	+	aspC	b0928
Regulation of aspCp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	aspCp	-	aspC	b0928
Regulation of aspVp by DNA-binding transcriptional dual regulator Fis	aspVp	+	aspV	b0216
Regulation of asrp by DNA binding transcriptional dual regulator RcdA	asrp	+	asr	b1597
Regulation of asrp by DNA binding transcriptional dual regulator RcdA	asrp	+	asr	b1597
Regulation of asrp by DNA-binding transcriptional dual regulator H-NS	asrp	-	asr	b1597
Regulation of asrp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	asrp	+	asr	b1597
Regulation of asrp by DNA-binding transcriptional regulator RstA-phosphorylated	asrp	+	asr	b1597
Regulation of asrp2 by DNA binding transcriptional dual regulator RcdA	asrp2	+	asr	b1597
Regulation of asrp2 by DNA binding transcriptional dual regulator RcdA	asrp2	+	asr	b1597
Regulation of asrp2 by DNA-binding transcriptional dual regulator H-NS	asrp2	-	asr	b1597
Regulation of asrp2 by DNA-binding transcriptional dual regulator PhoB-phosphorylated	asrp2	+	asr	b1597
Regulation of asrp2 by DNA-binding transcriptional regulator RstA-phosphorylated	asrp2	+	asr	b1597
Regulation of astCp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator	astCp2	+	astE // astB // astD // astA // astC	b1744 // b1745 // b1746 // b1747 // b1748
Regulation of astCp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator	astCp2	+	astE // astB // astD // astA // astC	b1744 // b1745 // b1746 // b1747 // b1748
Regulation of astCp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator	astCp2	+	astE // astB // astD // astA // astC	b1744 // b1745 // b1746 // b1747 // b1748
Regulation of astCp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator	astCp2	+	astE // astB // astD // astA // astC	b1744 // b1745 // b1746 // b1747 // b1748
Regulation of astCp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated	astCp2	+	astE // astB // astD // astA // astC	b1744 // b1745 // b1746 // b1747 // b1748
Regulation of astCp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated	astCp2	+	astE // astB // astD // astA // astC	b1744 // b1745 // b1746 // b1747 // b1748
Regulation of astCp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated	astCp2	+	astE // astB // astD // astA // astC	b1744 // b1745 // b1746 // b1747 // b1748
Regulation of atoDp by DNA-binding transcriptional activator AtoC-phosphorylated	atoDp	+	atoB // atoD // atoA // atoE	b2224 // b2221 // b2222 // b2223
Regulation of atoDp by DNA-binding transcriptional activator AtoC-phosphorylated	atoDp	+	atoB // atoD // atoA // atoE	b2224 // b2221 // b2222 // b2223
Regulation of atoDp by DNA-binding transcriptional dual regulator IHF	atoDp	+	atoB // atoD // atoA // atoE	b2224 // b2221 // b2222 // b2223
Regulation of atoDp by DNA-binding transcriptional dual regulator IHF	atoDp	+	atoB // atoD // atoA // atoE	b2224 // b2221 // b2222 // b2223
Regulation of avtAp by DNA-binding transcriptional dual regulator Lrp-L-leucine	avtAp	-	avtA	b3572
Regulation of azuCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	azuCp	-	azuR // azuC	b4434 // b4663
Regulation of azuCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	azuCp	-	azuR // azuC	b4434 // b4663
Regulation of bacAp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	bacAp	+	bacA	b3057
Regulation of bamEp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	bamEp	-	bamE	b2617
Regulation of bamEp by DNA-binding transcriptional dual regulator NsrR	bamEp	-	bamE	b2617
Regulation of bcsBp by DNA-binding transcriptional dual regulator FNR	bcsBp	+	bcsZ // bcsB	b3531 // b3532
Regulation of bdcAp by DNA-binding transcriptional dual regulator NsrR	bdcAp	-	bdcA	b4249
Regulation of bdmp by DNA-binding transcriptional dual regulator RcsB-phosphorylated	bdmp	+	sra // bdm	b1480 // b1481
Regulation of betIp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	betIp	-	betA // betB // betI	b0311 // b0312 // b0313
Regulation of betIp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	betIp	-	betA // betB // betI	b0311 // b0312 // b0313
Regulation of betIp by DNA-binding transcriptional dual regulator Cra	betIp	+	betA // betB // betI	b0311 // b0312 // b0313
Regulation of betIp by DNA-binding transcriptional repressor BetI	betIp	-	betA // betB // betI	b0311 // b0312 // b0313
Regulation of betTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	betTp	-	betT	b0314
Regulation of betTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	betTp	-	betT	b0314
Regulation of betTp by DNA-binding transcriptional dual regulator Cra	betTp	+	betT	b0314
Regulation of betTp by DNA-binding transcriptional repressor BetI	betTp	-	betT	b0314
Regulation of bglGp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	bglGp1	+	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp1 by DNA-binding transcriptional dual regulator Fis	bglGp1	-	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp1 by DNA-binding transcriptional dual regulator Fis	bglGp1	-	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp1 by DNA-binding transcriptional dual regulator H-NS	bglGp1	-	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp1 by DNA-binding transcriptional dual regulator LeuO	bglGp1	+	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp1 by DNA-binding transcriptional dual regulator LeuO	bglGp1	+	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp1 by DNA-binding transcriptional repressor StpA with RNA chaperone activity	bglGp1	-	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp1 by RcsB-BglJ DNA-binding transcriptional activator	bglGp1	+	bglG // bglB // bglF	b3723 // b3721 // b3722
Regulation of bglGp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	bglGp2	+	bglG	b3723
Regulation of bglGp2 by RcsB-BglJ DNA-binding transcriptional activator	bglGp2	+	bglG	b3723
Regulation of bhsAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	bhsAp	-	bhsA	b1112
Regulation of bhsAp by DNA-binding transcriptional repressor ComR	bhsAp	-	bhsA	b1112
Regulation of bioAp by BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase	bioAp	-	bioA	b0774
Regulation of bioBp by BirA-biotinyl-5'-adenylate DNA-binding transcriptional repressor / biotin-[acetyl-CoA-carboxylase] ligase	bioBp	-	bioB // bioF // bioC // bioD	b0775 // b0776 // b0777 // b0778
Regulation of bluFp by DNA binding transcriptional dual regulator RcdA	bluFp	+	bluF	b1163
Regulation of bluFp by DNA binding transcriptional dual regulator RcdA	bluFp	+	bluF	b1163
Regulation of bolAp by DNA-binding transcriptional dual regulator H-NS	bolAp	-	bolA	b0435
Regulation of bolAp by DNA-binding transcriptional dual regulator OmpR-phosphorylated	bolAp	-	bolA	b0435
Regulation of bolAp by ppGpp	bolAp	+	bolA	b0435
Regulation of bolAp1 by DNA-binding transcriptional dual regulator H-NS	bolAp1	-	bolA	b0435
Regulation of bolAp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated	bolAp1	-	bolA	b0435
Regulation of borDp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	borDp	+	borD	b0557
Regulation of bssSp1 by DNA-binding transcriptional activator YhaJ	bssSp1	+	bssS	b1060
Regulation of btuBp by DNA-binding transcriptional dual regulator GadX	btuBp	-	murI // btuB	b3967 // b3966
Regulation of btuBp by DNA-binding transcriptional dual regulator GadX	btuBp	-	murI // btuB	b3967 // b3966
Regulation of btuBp by DNA-binding transcriptional dual regulator GadX	btuBp	-	murI // btuB	b3967 // b3966
Regulation of cadBp by DNA-binding transcriptional activator CadC	cadBp	+	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional activator CadC	cadBp	+	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cadBp	-	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator GadX	cadBp	+	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator H-NS	cadBp	-	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator H-NS	cadBp	-	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator H-NS	cadBp	-	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator H-NS	cadBp	-	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator H-NS	cadBp	-	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator Lrp	cadBp	+	cadA // cadB	b4131 // b4132
Regulation of cadBp by DNA-binding transcriptional dual regulator OmpR	cadBp	-	cadA // cadB	b4131 // b4132
Regulation of cadBp by GadE-RcsB DNA-binding transcriptional activator	cadBp	+	cadA // cadB	b4131 // b4132
Regulation of cadCp by DNA-binding transcriptional activator CadC	cadCp	+	cadC	b4133
Regulation of cadCp by DNA-binding transcriptional activator MlrA	cadCp	+	cadC	b4133
Regulation of cadCp by DNA-binding transcriptional dual regulator FNR	cadCp	+	cadC	b4133
Regulation of cadCp by DNA-binding transcriptional dual regulator H-NS	cadCp	-	cadC	b4133
Regulation of cadCp by DNA-binding transcriptional dual regulator LeuO	cadCp	-	cadC	b4133
Regulation of cadCp by DNA-binding transcriptional dual regulator OmpR	cadCp	-	cadC	b4133
Regulation of caiFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	caiFp	+	caiF	b0034
Regulation of caiFp by DNA-binding transcriptional dual regulator FNR	caiFp	+	caiF	b0034
Regulation of caiFp by DNA-binding transcriptional dual regulator H-NS	caiFp	-	caiF	b0034
Regulation of caiFp by DNA-binding transcriptional dual regulator NarL-phosphorylated	caiFp	-	caiF	b0034
Regulation of caiTp by CaiF-L-carnitine DNA-binding Transcriptional Activator	caiTp	+	caiE // caiD // caiC // caiB // caiA // caiT	b0035 // b0036 // b0037 // b0038 // b0039 // b0040
Regulation of caiTp by CaiF-L-carnitine DNA-binding Transcriptional Activator	caiTp	+	caiE // caiD // caiC // caiB // caiA // caiT	b0035 // b0036 // b0037 // b0038 // b0039 // b0040
Regulation of caiTp by CaiF-L-carnitine DNA-binding Transcriptional Activator	caiTp	+	caiE // caiD // caiC // caiB // caiA // caiT	b0035 // b0036 // b0037 // b0038 // b0039 // b0040
Regulation of caiTp by CaiF-L-carnitine DNA-binding Transcriptional Activator	caiTp	+	caiE // caiD // caiC // caiB // caiA // caiT	b0035 // b0036 // b0037 // b0038 // b0039 // b0040
Regulation of caiTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	caiTp	+	caiE // caiD // caiC // caiB // caiA // caiT	b0035 // b0036 // b0037 // b0038 // b0039 // b0040
