Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
rpsF,activator,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022627 - cytosolic small ribosomal subunit; GO:0043229 - intracellular organelle; GO:1990904 - ribonucleoprotein complex,GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome; GO:0005515 - protein binding; GO:0019843 - rRNA binding; GO:0048027 - mRNA 5'-UTR binding; GO:0070181 - small ribosomal subunit rRNA binding
priB,activator,DNA replication,"GO:0006260 - DNA replication; GO:0006268 - DNA unwinding involved in DNA replication; GO:0006269 - DNA replication, synthesis of RNA primer; GO:0006270 - DNA replication initiation; GO:0006276 - plasmid maintenance; GO:0009314 - response to radiation; GO:0031297 - replication fork processing",GO:0005829 - cytosol; GO:0030894 - replisome; GO:1990077 - primosome complex; GO:1990099 - pre-primosome complex; GO:1990158 - DnaB-DnaC-DnaT-PriA-PriB complex,GO:0003677 - DNA binding; GO:0003697 - single-stranded DNA binding; GO:0005515 - protein binding; GO:0042802 - identical protein binding
rpsR,activator,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022627 - cytosolic small ribosomal subunit; GO:1990904 - ribonucleoprotein complex,GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome; GO:0005515 - protein binding; GO:0019843 - rRNA binding; GO:0048027 - mRNA 5'-UTR binding; GO:0070181 - small ribosomal subunit rRNA binding
feaB,activator,amines; nicotinamide adenine dinucleotide,GO:0006559 - L-phenylalanine catabolic process; GO:0009435 - NAD biosynthetic process; GO:0019607 - phenylethylamine catabolic process; GO:0046196 - 4-nitrophenol catabolic process,GO:0005829 - cytosol; GO:0032991 - protein-containing complex,"GO:0004030 - aldehyde dehydrogenase [NAD(P)+] activity; GO:0008957 - phenylacetaldehyde dehydrogenase activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0047106 - 4-hydroxyphenylacetaldehyde dehydrogenase activity"
cspD,activator,DNA replication; DNA structure level,GO:0006355 - regulation of DNA-templated transcription; GO:0008156 - negative regulation of DNA replication; GO:0010468 - regulation of gene expression; GO:0035821 - modulation of process of another organism; GO:0042594 - response to starvation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003676 - nucleic acid binding; GO:0003677 - DNA binding; GO:0003697 - single-stranded DNA binding; GO:0003723 - RNA binding; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity; GO:0090729 - toxin activity
bglG,activator,carbon compounds; Transcription related; activator; operon,GO:0006355 - regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003723 - RNA binding; GO:0005515 - protein binding
casD,repressor,defense/survival,GO:0043571 - maintenance of CRISPR repeat elements; GO:0051607 - defense response to virus; GO:0099048 - CRISPR-cas system,GO:0005829 - cytosol; GO:0032991 - protein-containing complex,GO:0003723 - RNA binding; GO:0005515 - protein binding; GO:0071667 - DNA/RNA hybrid binding
casB,repressor,defense/survival,GO:0051607 - defense response to virus; GO:0099048 - CRISPR-cas system,GO:0032991 - protein-containing complex,GO:0003676 - nucleic acid binding; GO:0003677 - DNA binding; GO:0003723 - RNA binding; GO:0005515 - protein binding
cas2,repressor,defense/survival,GO:0043571 - maintenance of CRISPR repeat elements; GO:0051607 - defense response to virus; GO:0099048 - CRISPR-cas system,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0004518 - nuclease activity; GO:0004519 - endonuclease activity; GO:0005515 - protein binding; GO:0016787 - hydrolase activity
casC,repressor,defense/survival,GO:0051607 - defense response to virus; GO:0099048 - CRISPR-cas system,GO:0005829 - cytosol; GO:0032991 - protein-containing complex,GO:0003723 - RNA binding; GO:0005515 - protein binding; GO:0071667 - DNA/RNA hybrid binding
casA,repressor,defense/survival,GO:0051607 - defense response to virus; GO:0099048 - CRISPR-cas system,GO:0032991 - protein-containing complex,GO:0003677 - DNA binding; GO:0003723 - RNA binding; GO:0005515 - protein binding; GO:0008270 - zinc ion binding
cas1,repressor,DNA repair; defense/survival,GO:0006281 - DNA repair; GO:0006974 - DNA damage response; GO:0043571 - maintenance of CRISPR repeat elements; GO:0051607 - defense response to virus; GO:0099048 - CRISPR-cas system,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003676 - nucleic acid binding; GO:0003677 - DNA binding; GO:0004518 - nuclease activity; GO:0004519 - endonuclease activity; GO:0004520 - DNA endonuclease activity; GO:0005515 - protein binding; GO:0008821 - crossover junction DNA endonuclease activity; GO:0016787 - hydrolase activity; GO:0017108 - 5'-flap endonuclease activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
casE,repressor,defense/survival,GO:0006396 - RNA processing; GO:0051607 - defense response to virus; GO:0099048 - CRISPR-cas system,GO:0032991 - protein-containing complex,GO:0003723 - RNA binding; GO:0004518 - nuclease activity; GO:0004519 - endonuclease activity; GO:0004521 - RNA endonuclease activity; GO:0005515 - protein binding; GO:0016787 - hydrolase activity
chiZ,activator,antisense RNA,GO:0050779 - RNA destabilization,,GO:0061980 - regulatory RNA binding
chiQ,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,
chiP,activator,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily),GO:0006811 - monoatomic ion transport; GO:0015772 - oligosaccharide transport; GO:0015774 - polysaccharide transport; GO:0052778 - diacetylchitobiose metabolic process; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0046930 - pore complex,GO:0015267 - channel activity; GO:0015288 - porin activity
pck,dual,central intermediary metabolism,GO:0006094 - gluconeogenesis; GO:0008152 - metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0004611 - phosphoenolpyruvate carboxykinase activity; GO:0004612 - phosphoenolpyruvate carboxykinase (ATP) activity; GO:0005509 - calcium ion binding; GO:0005524 - ATP binding; GO:0016829 - lyase activity; GO:0016831 - carboxy-lyase activity; GO:0017076 - purine nucleotide binding; GO:0046872 - metal ion binding
secB,activator,The Type II (General) Secretory Pathway (IISP) Family,GO:0006457 - protein folding; GO:0006605 - protein targeting; GO:0008104 - protein localization; GO:0015031 - protein transport; GO:0036506 - maintenance of unfolded protein; GO:0043952 - protein transport by the Sec complex; GO:0051179 - localization; GO:0051262 - protein tetramerization,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0005515 - protein binding; GO:0051082 - unfolded protein binding; GO:0070678 - preprotein binding
gpsA,activator,misc. glycerol metabolism; phosphorous metabolism,GO:0005975 - carbohydrate metabolic process; GO:0006072 - glycerol-3-phosphate metabolic process; GO:0006116 - NADH oxidation; GO:0006629 - lipid metabolic process; GO:0006650 - glycerophospholipid metabolic process; GO:0008654 - phospholipid biosynthetic process; GO:0046167 - glycerol-3-phosphate biosynthetic process; GO:0046168 - glycerol-3-phosphate catabolic process; GO:0046474 - glycerophospholipid biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009331 - glycerol-3-phosphate dehydrogenase complex,"GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0042803 - protein homodimerization activity; GO:0047952 - glycerol-3-phosphate dehydrogenase [NAD(P)+] activity; GO:0051287 - NAD binding"
ompW,repressor,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily),GO:0055085 - transmembrane transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0019867 - outer membrane,GO:0005515 - protein binding
csrC,repressor,RNA related,GO:1900192 - positive regulation of single-species biofilm formation; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility; GO:1904572 - negative regulation of mRNA binding,,GO:0005515 - protein binding
rseB,activator,"Transcription related; sigma factors, anti-sigmafactors; starvation; other (mechanical, nutritional, oxidative stress)",GO:0032885 - regulation of polysaccharide biosynthetic process; GO:0045892 - negative regulation of DNA-templated transcription; GO:0050821 - protein stabilization,GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:1903865 - sigma factor antagonist complex,GO:0005515 - protein binding; GO:0008289 - lipid binding; GO:0042802 - identical protein binding; GO:0045152 - antisigma factor binding
rseA,activator,"Transcription related; sigma factors, anti-sigmafactors; temperature extremes; other (mechanical, nutritional, oxidative stress)",GO:0006950 - response to stress; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:1903865 - sigma factor antagonist complex,GO:0005515 - protein binding; GO:0016989 - sigma factor antagonist activity; GO:0060090 - molecular adaptor activity
rseC,activator,"Transcription related; sigma factors, anti-sigmafactors; starvation; other (mechanical, nutritional, oxidative stress); membrane",GO:0006979 - response to oxidative stress; GO:0051090 - regulation of DNA-binding transcription factor activity,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0098797 - plasma membrane protein complex; GO:1990204 - oxidoreductase complex,"GO:0016651 - oxidoreductase activity, acting on NAD(P)H"
rseD,activator,,GO:0006417 - regulation of translation,,
rpoE,activator,"Transcription related; sigma factors, anti-sigmafactors; stimulon; temperature extremes; other (mechanical, nutritional, oxidative stress)",GO:0006351 - DNA-templated transcription; GO:0006352 - DNA-templated transcription initiation; GO:0006355 - regulation of DNA-templated transcription; GO:0006970 - response to osmotic stress; GO:0009266 - response to temperature stimulus; GO:0036460 - cellular response to cell envelope stress; GO:0045892 - negative regulation of DNA-templated transcription; GO:0090605 - submerged biofilm formation; GO:2000142 - regulation of DNA-templated transcription initiation,GO:0000345 - cytosolic DNA-directed RNA polymerase complex; GO:0005737 - cytoplasm; GO:0005886 - plasma membrane; GO:1903865 - sigma factor antagonist complex,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0016987 - sigma factor activity
exuR,repressor,carbon compounds; Transcription related; repressor; regulon,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
lgoR,activator,transcriptional level,GO:0006355 - regulation of DNA-templated transcription; GO:0019584 - galactonate catabolic process,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
lgoD,activator,carbon compounds,GO:0034195 - L-galactonate catabolic process,GO:0005829 - cytosol,"GO:0008270 - zinc ion binding; GO:0016491 - oxidoreductase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0046872 - metal ion binding"
csqR,dual,Transcription related; repressor; regulon,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:2000143 - negative regulation of DNA-templated transcription initiation,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
xylE,activator,"carbon compounds; Porters (Uni-, Sym- and Antiporters); membrane",GO:0015753 - D-xylose transmembrane transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005355 - glucose transmembrane transporter activity; GO:0015293 - symporter activity; GO:0015519 - D-xylose:proton symporter activity; GO:0022857 - transmembrane transporter activity
dgoK,activator,carbon compounds,GO:0016310 - phosphorylation; GO:0034194 - D-galactonate catabolic process; GO:0046835 - carbohydrate phosphorylation,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0008671 - 2-dehydro-3-deoxygalactonokinase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity
dgoR,activator,carbon compounds; Transcription related; repressor; operon,GO:0006355 - regulation of DNA-templated transcription; GO:2000143 - negative regulation of DNA-templated transcription initiation,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0098531 - ligand-activated transcription factor activity
dgoT,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0034194 - D-galactonate catabolic process; GO:0042875 - D-galactonate transmembrane transport; GO:0055085 - transmembrane transport; GO:1902600 - proton transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015293 - symporter activity; GO:0015295 - solute:proton symporter activity; GO:0022857 - transmembrane transporter activity; GO:0042881 - D-galactonate transmembrane transporter activity
dgoD,activator,carbon compounds,GO:0009063 - amino acid catabolic process; GO:0034194 - D-galactonate catabolic process,GO:0005829 - cytosol,GO:0000287 - magnesium ion binding; GO:0008869 - galactonate dehydratase activity; GO:0016829 - lyase activity; GO:0046872 - metal ion binding
